cotacaoVenda,dataHoraCotacao,tipoBoletim
"2,89522",2010-01-18 17:33:00.0,Fechamento
"2,91689",2010-01-19 09:24:00.0,Abertura
"2,90639",2010-01-19 09:30:00.0,Intermediário
"2,90367",2010-01-19 10:00:00.0,Intermediário
"2,90457",2010-01-19 10:30:00.0,Intermediário
"2,90727",2010-01-19 11:00:00.0,Intermediário
"2,90349",2010-01-19 11:30:00.0,Intermediário
"2,90207",2010-01-19 12:00:00.0,Intermediário
"2,90787",2010-01-19 12:30:00.0,Intermediário
"2,91094",2010-01-19 13:00:00.0,Intermediário
"2,90454",2010-01-19 13:30:00.0,Intermediário
"2,90619",2010-01-19 14:00:00.0,Intermediário
"2,90355",2010-01-19 14:30:00.0,Intermediário
"2,90897",2010-01-19 15:00:00.0,Intermediário
"2,90546",2010-01-19 15:30:00.0,Intermediário
"2,90215",2010-01-19 16:00:00.0,Intermediário
"2,90215",2010-01-19 16:30:00.0,Fechamento Interbancário
"2,90657",2010-01-19 17:36:00.0,Fechamento
"2,91251",2010-01-20 09:21:00.0,Abertura
"2,9055",2010-01-20 09:30:00.0,Intermediário
"2,90183",2010-01-20 10:00:00.0,Intermediário
"2,90098",2010-01-20 10:30:00.0,Intermediário
"2,90682",2010-01-20 11:00:00.0,Intermediário
"2,9136",2010-01-20 11:31:00.0,Intermediário
"2,90543",2010-01-20 12:00:00.0,Intermediário
"2,90562",2010-01-20 12:30:00.0,Intermediário
"2,91073",2010-01-20 13:00:00.0,Intermediário
"2,91446",2010-01-20 13:30:00.0,Intermediário
"2,91178",2010-01-20 14:00:00.0,Intermediário
"2,91589",2010-01-20 14:30:00.0,Intermediário
"2,92008",2010-01-20 15:00:00.0,Intermediário
"2,91646",2010-01-20 15:30:00.0,Intermediário
"2,91539",2010-01-20 16:00:00.0,Intermediário
"2,91795",2010-01-20 16:30:00.0,Fechamento Interbancário
"2,90558",2010-01-20 17:32:00.0,Fechamento
"2,90339",2010-01-21 09:25:00.0,Abertura
"2,89473",2010-01-21 09:30:00.0,Intermediário
"2,89481",2010-01-21 10:00:00.0,Intermediário
"2,88869",2010-01-21 10:30:00.0,Intermediário
"2,89178",2010-01-21 11:00:00.0,Intermediário
"2,89281",2010-01-21 11:30:00.0,Intermediário
