cotacaoVenda,dataHoraCotacao,tipoBoletim
"2,59344",2010-01-28 10:00:00.0,Intermediário
"2,58812",2010-01-28 10:30:00.0,Intermediário
"2,58824",2010-01-28 11:00:00.0,Intermediário
"2,59197",2010-01-28 11:30:00.0,Intermediário
"2,59356",2010-01-28 12:00:00.0,Intermediário
"2,59393",2010-01-28 12:30:00.0,Intermediário
"2,59078",2010-01-28 13:00:00.0,Intermediário
"2,59591",2010-01-28 13:30:00.0,Intermediário
"2,59665",2010-01-28 14:00:00.0,Intermediário
"2,60451",2010-01-28 14:30:00.0,Intermediário
"2,61475",2010-01-28 15:00:00.0,Intermediário
"2,61636",2010-01-28 15:30:00.0,Intermediário
"2,61603",2010-01-28 16:00:00.0,Intermediário
"2,61083",2010-01-28 16:30:00.0,Fechamento Interbancário
"2,59545",2010-01-28 17:35:00.0,Fechamento
"2,61312",2010-01-29 09:20:00.0,Abertura
"2,6082",2010-01-29 09:30:00.0,Intermediário
"2,6001",2010-01-29 10:00:00.0,Intermediário
"2,60216",2010-01-29 10:30:00.0,Intermediário
"2,60525",2010-01-29 11:00:00.0,Intermediário
"2,60382",2010-01-29 11:30:00.0,Intermediário
"2,60251",2010-01-29 12:00:00.0,Intermediário
"2,60295",2010-01-29 12:30:00.0,Intermediário
"2,59554",2010-01-29 13:00:00.0,Intermediário
"2,60203",2010-01-29 13:30:00.0,Intermediário
"2,59721",2010-01-29 14:00:00.0,Intermediário
"2,59419",2010-01-29 14:30:00.0,Intermediário
"2,60078",2010-01-29 15:00:00.0,Intermediário
"2,61348",2010-01-29 15:30:00.0,Intermediário
"2,61808",2010-01-29 16:00:00.0,Intermediário
"2,61713",2010-01-29 16:30:00.0,Fechamento Interbancário
"2,60297",2010-01-29 17:34:00.0,Fechamento
"2,63177",2010-02-01 09:21:00.0,Abertura
"2,62408",2010-02-01 09:30:00.0,Intermediário
"2,62516",2010-02-01 10:00:00.0,Intermediário
"2,62395",2010-02-01 10:30:00.0,Intermediário
"2,61527",2010-02-01 11:00:00.0,Intermediário
"2,61925",2010-02-01 11:30:00.0,Intermediário
"2,62649",2010-02-01 12:00:00.0,Intermediário
"2,61754",2010-02-01 12:30:00.0,Intermediário
"2,60748",2010-02-01 13:00:00.0,Intermediário
"2,60486",2010-02-01 13:30:00.0,Intermediário
"2,60013",2010-02-01 14:00:00.0,Intermediário
"2,597",2010-02-01 14:30:00.0,Intermediário
"2,59634",2010-02-01 15:00:00.0,Intermediário
"2,59937",2010-02-01 15:30:00.0,Intermediário
"2,58832",2010-02-01 16:00:00.0,Intermediário
"2,59116",2010-02-01 16:30:00.0,Fechamento Interbancário
"2,61386",2010-02-01 17:33:00.0,Fechamento
"2,58502",2010-02-02 09:16:00.0,Abertura
"2,57918",2010-02-02 09:30:00.0,Intermediário
"2,5695",2010-02-02 10:00:00.0,Intermediário
"2,57445",2010-02-02 10:30:00.0,Intermediário
"2,57162",2010-02-02 11:00:00.0,Intermediário
"2,57191",2010-02-02 11:30:00.0,Intermediário
"2,57264",2010-02-02 12:00:00.0,Intermediário
"2,57163",2010-02-02 12:30:00.0,Intermediário
"2,56744",2010-02-02 13:00:00.0,Intermediário
"2,57413",2010-02-02 13:30:00.0,Intermediário
"2,56438",2010-02-02 14:00:00.0,Intermediário
"2,56689",2010-02-02 14:30:00.0,Intermediário
"2,55656",2010-02-02 15:00:00.0,Intermediário
"2,55651",2010-02-02 15:30:00.0,Intermediário
"2,552",2010-02-02 16:00:00.0,Intermediário
"2,55719",2010-02-02 16:30:00.0,Fechamento Interbancário
"2,56599",2010-02-02 17:32:00.0,Fechamento
"2,55713",2010-02-03 09:36:00.0,Abertura
"2,55135",2010-02-03 09:41:00.0,Intermediário
"2,55049",2010-02-03 10:00:00.0,Intermediário
"2,55978",2010-02-03 10:30:00.0,Intermediário
"2,5651",2010-02-03 11:00:00.0,Intermediário
"2,5668",2010-02-03 11:30:00.0,Intermediário
"2,56966",2010-02-03 12:00:00.0,Intermediário
"2,56773",2010-02-03 12:30:00.0,Intermediário
"2,56159",2010-02-03 13:00:00.0,Intermediário
"2,56267",2010-02-03 13:30:00.0,Intermediário
"2,56717",2010-02-03 14:00:00.0,Intermediário
"2,56787",2010-02-03 14:30:00.0,Intermediário
"2,57558",2010-02-03 15:00:00.0,Intermediário
"2,57444",2010-02-03 15:30:00.0,Intermediário
"2,56982",2010-02-03 16:00:00.0,Intermediário
"2,56578",2010-02-03 16:30:00.0,Fechamento Interbancário
"2,55145",2010-02-03 17:35:00.0,Fechamento
"2,58928",2010-02-04 09:25:00.0,Abertura
"2,58808",2010-02-04 09:30:00.0,Intermediário
"2,58836",2010-02-04 10:00:00.0,Intermediário
"2,58039",2010-02-04 10:30:00.0,Intermediário
"2,57859",2010-02-04 11:00:00.0,Intermediário
"2,58173",2010-02-04 11:30:00.0,Intermediário
"2,58518",2010-02-04 12:00:00.0,Intermediário
"2,58554",2010-02-04 12:30:00.0,Intermediário
"2,58863",2010-02-04 13:00:00.0,Intermediário
"2,59049",2010-02-04 13:30:00.0,Intermediário
"2,58964",2010-02-04 14:00:00.0,Intermediário
"2,60438",2010-02-04 14:30:00.0,Intermediário
"2,59798",2010-02-04 15:00:00.0,Intermediário
"2,59372",2010-02-04 15:30:00.0,Intermediário
"2,59566",2010-02-04 16:00:00.0,Intermediário
"2,59361",2010-02-04 16:30:00.0,Fechamento Interbancário
"2,5764",2010-02-04 17:33:00.0,Fechamento
"2,58471",2010-02-05 09:26:00.0,Abertura
"2,58322",2010-02-05 09:30:00.0,Intermediário
"2,57705",2010-02-05 10:00:00.0,Intermediário
